Well Name,Depth (m),Quartz,K-Feldspar,Plagioclase,Total Feldspar,Chlorite,IlliteSmectiteMica,Kaolinite,Total Clay,Calcite,Ankerite/Dolomite,Total Carbonate,Pyrite,Organics ,,,Al2O3,SiO2,TiO2,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,SO3,Cl ,Zr
,,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,,,%,%,%,%,%,%,%,%,%,%,%,%,ppm
Well 3,3512.30,42.64,2.44,4.46,6.90,1.58,5.29,0.00,6.87,31.98,8.53,40.51,2.26,0.82,,,2.18,49.25,0.21,1.42,0.24,0.55,21.86,0.82,0.69,0.07,1.15,0.10,185.48
Well 3,3521.44,38.93,1.68,5.12,6.80,1.61,3.52,0.19,5.32,37.66,8.38,46.04,1.91,1.00,,,2.26,44.83,0.22,1.38,0.26,0.63,26.69,0.65,0.67,0.06,1.35,0.09,153.97
Well 3,3530.58,38.78,2.10,4.69,6.79,1.60,2.44,0.00,4.05,38.63,8.19,46.82,2.26,1.29,,,1.66,40.40,0.17,1.24,0.20,0.63,27.76,0.59,0.52,0.03,1.16,0.08,153.77
Well 3,3539.73,39.63,2.80,3.98,6.79,1.90,5.92,0.10,7.92,34.57,7.97,42.54,2.07,1.05,,,2.35,48.20,0.20,1.61,0.40,0.53,21.61,0.71,0.70,0.10,1.39,0.09,184.11
Well 3,3548.87,39.35,2.06,3.91,5.97,1.96,4.45,0.23,6.63,35.84,8.72,44.56,2.27,1.23,,,9.05,40.06,0.30,3.02,0.30,3.52,12.46,<LOD,0.81,0.14,1.57,0.11,183.62
Well 3,3558.02,40.75,1.65,4.41,6.06,2.00,5.22,0.00,7.23,33.72,8.59,42.32,2.28,1.36,,,2.27,44.84,0.20,1.40,0.23,0.60,23.49,0.83,0.68,0.06,1.25,0.21,179.79
Well 3,3567.16,39.99,2.32,4.40,6.73,1.80,8.05,0.00,9.85,31.90,8.41,40.31,2.40,0.72,,,2.37,46.60,0.20,1.42,0.21,0.52,22.19,0.71,0.67,0.06,1.33,0.08,191.18
Well 3,3576.30,40.92,1.80,4.54,6.34,1.62,7.59,0.00,9.21,31.61,9.47,41.08,1.95,0.50,,,2.31,43.49,0.19,1.40,0.21,0.50,19.91,0.67,0.65,0.07,1.16,0.07,194.13
Well 3,3585.45,40.15,2.22,4.28,6.50,1.85,8.11,0.00,9.96,31.97,8.78,40.75,2.08,0.55,,,1.61,43.17,0.18,1.37,0.21,0.67,21.12,0.63,0.62,0.07,1.28,0.08,194.13
Well 3,3594.59,40.76,1.91,4.89,6.80,2.07,4.41,0.17,6.65,34.10,8.49,42.59,2.29,0.91,,,2.16,45.63,0.19,1.44,0.23,0.57,21.19,0.74,0.67,0.06,1.18,0.09,183.82
Well 3,3603.74,40.74,1.88,3.98,5.86,1.98,5.02,0.00,7.00,34.48,8.59,43.07,2.40,0.93,,,1.99,46.36,0.19,1.41,0.22,0.72,20.84,0.66,0.68,0.08,1.35,0.06,193.54
Well 3,3612.88,40.37,2.82,4.15,6.97,2.00,6.66,0.00,8.66,32.05,8.44,40.49,2.37,1.13,,,2.52,41.43,0.21,2.82,0.52,0.87,20.11,0.60,0.69,0.10,1.25,0.08,186.37
Well 3,3622.02,40.23,1.86,4.50,6.36,2.08,6.13,0.09,8.31,33.30,8.70,42.00,2.07,1.03,,,1.63,42.70,0.18,1.32,0.19,0.60,24.31,0.63,0.58,0.06,1.21,0.10,168.60
Well 3,3631.17,38.64,2.25,4.19,6.45,1.71,4.55,0.45,6.72,36.89,8.01,44.90,2.19,1.11,,,1.52,40.32,0.17,1.31,0.19,0.68,23.69,0.61,0.54,0.04,1.06,0.04,138.25
Well 3,3640.31,46.06,2.26,3.92,6.18,1.38,4.21,0.27,5.86,34.03,4.82,38.86,1.45,1.60,,,1.44,53.74,0.18,1.10,0.19,0.15,21.15,0.71,0.57,0.08,1.06,0.06,213.67
Well 3,3649.46,46.54,2.03,4.76,6.78,1.21,4.14,0.09,5.44,33.65,4.57,38.22,1.91,1.10,,,1.92,52.81,0.27,1.46,0.23,0.10,20.69,0.69,0.50,0.11,0.69,0.04,185.19
Well 3,3653.42,50.23,1.84,4.36,6.20,1.54,2.57,0.54,4.65,32.41,2.10,34.51,1.80,2.62,,,1.53,55.52,0.18,1.17,0.20,0.04,18.81,0.80,0.48,0.20,0.80,0.10,200.41
Well 3,3658.60,52.35,3.38,4.79,8.16,2.04,5.31,0.07,7.42,25.74,2.02,27.76,1.37,2.94,,,1.18,56.89,0.23,0.96,0.16,<LOD,14.50,0.79,0.55,0.17,1.01,0.06,258.34
Well 3,3667.74,52.19,2.88,5.21,8.09,2.21,3.08,0.19,5.48,27.18,2.61,29.79,1.64,2.80,,,1.32,58.32,0.23,1.89,0.29,0.06,13.26,0.82,0.55,0.15,0.92,0.10,274.74
Well 3,3676.89,53.59,3.25,4.84,8.09,2.07,2.87,0.18,5.12,26.20,1.82,28.02,1.62,3.56,,,1.13,51.30,0.22,1.00,0.15,0.11,13.91,0.68,0.51,0.12,0.90,0.05,252.26
Well 3,3686.03,50.14,3.16,6.73,9.88,2.45,2.53,0.00,4.99,27.93,2.45,30.38,1.53,3.08,,,0.95,51.25,0.20,0.92,0.14,0.09,13.77,0.76,0.50,0.13,0.91,0.06,269.14
Well 3,3695.18,51.25,4.06,5.92,9.98,1.84,4.16,0.14,6.13,25.68,2.16,27.84,1.77,3.03,,,1.48,59.95,0.23,1.03,0.18,<LOD,13.30,0.88,0.61,0.20,0.87,0.10,272.58
Well 3,3704.32,51.72,4.29,7.01,11.31,2.06,9.74,0.55,12.35,17.06,2.23,19.29,1.44,3.89,,,3.41,62.67,0.33,1.40,0.16,<LOD,8.61,0.94,0.99,0.16,1.02,0.04,271.01
Well 3,3710.42,52.76,3.21,7.10,10.31,1.38,7.28,0.26,8.92,20.97,2.50,23.48,1.30,3.24,,,3.17,64.94,0.34,1.42,0.21,<LOD,13.88,0.87,0.77,0.11,0.89,0.04,227.61
Well 3,3716.51,54.09,2.83,5.77,8.60,1.02,8.85,0.05,9.92,21.99,2.06,24.05,0.76,2.58,,,2.08,64.83,0.25,1.31,0.17,<LOD,14.87,0.79,0.60,0.10,0.62,0.03,167.91
Well 3,3725.66,53.85,3.19,3.76,6.95,1.18,2.52,0.08,3.78,29.26,1.87,31.13,1.34,2.95,,,8.83,36.08,0.29,2.94,0.23,<LOD,9.10,1.22,0.60,0.15,0.74,0.04,206.20
Well 3,3734.80,54.78,3.18,4.38,7.56,0.24,5.21,0.00,5.45,27.13,2.32,29.46,0.46,2.30,,,0.78,54.62,0.22,0.99,0.19,0.03,14.61,0.69,0.43,0.08,0.44,0.04,161.23
Well 3,3743.94,53.91,2.86,4.10,6.97,0.33,5.10,0.00,5.43,27.97,2.63,30.60,0.93,2.16,,,1.93,53.05,0.22,1.22,0.15,0.03,16.68,0.63,0.53,0.08,0.44,0.04,169.87
Well 3,3750.95,52.97,3.59,4.63,8.22,1.13,3.94,0.00,5.07,27.63,1.62,29.25,1.87,2.62,,,1.37,60.23,0.21,1.11,0.18,0.04,14.96,0.80,0.58,0.11,0.96,0.13,231.73
Well 3,3757.05,52.75,2.80,6.06,8.86,2.64,5.82,0.00,8.46,24.22,1.64,25.86,1.03,3.04,,,2.34,57.67,0.23,1.14,0.16,<LOD,8.99,0.80,0.68,0.14,0.88,0.06,207.77
Well 3,3765.28,49.17,3.03,4.43,7.45,0.81,6.80,0.00,7.61,31.98,2.50,34.48,0.34,0.95,,,0.95,32.08,0.16,0.72,0.14,0.03,11.99,0.37,0.50,0.08,0.42,0.19,120.97
Well 3,3771.38,51.75,5.15,6.74,11.89,2.01,10.93,0.00,12.94,19.13,0.99,20.12,1.11,2.19,,,3.39,66.57,0.29,1.23,0.16,<LOD,8.42,0.96,0.94,0.15,0.75,0.07,271.21
Well 3,3777.47,48.97,2.55,4.28,6.83,1.03,6.43,0.00,7.46,30.96,2.62,33.58,0.94,2.21,,,,,,,,,,,,,,,
Well 3,3783.57,50.44,2.72,5.12,7.84,1.22,5.40,0.21,6.83,29.22,2.14,31.36,1.85,1.68,,,1.30,58.22,0.19,0.92,0.16,<LOD,15.08,0.80,0.55,0.17,0.65,0.07,235.66
Well 3,3789.66,49.02,2.81,6.87,9.67,1.51,7.95,0.11,9.57,25.00,1.74,26.74,2.44,2.56,,,,,,,,,,,,,,,
Well 3,3795.76,49.67,4.53,5.99,10.52,1.90,8.96,0.17,11.03,21.58,4.43,26.01,1.46,1.30,,,3.06,58.81,0.33,1.38,0.22,0.06,10.69,0.80,0.88,0.11,0.91,0.08,270.42
Well 3,3804.90,48.17,3.92,7.54,11.47,2.23,10.01,0.13,12.37,18.63,4.77,23.40,1.72,2.87,,,9.54,38.19,0.23,3.43,0.35,3.16,8.22,1.31,1.23,0.18,2.10,0.18,328.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
